Ticker,Name,Sector,Industry
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
BLDR,Builders FirstSource Inc.,Industrials,Building Products & Equipment
BLK,BlackRock Inc.,Financial Services,Asset Management
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
BR,Broadridge Financial Solutions Inc.,Technology,Information Technology Services
BRK-B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified
BRO,Brown & Brown Inc.,Financial Services,Insurance Brokers
BSX,Boston Scientific Corporation,Healthcare,Medical Devices
BX,Blackstone Inc.,Financial Services,Asset Management
BXP,BXP Inc.,Real Estate,REIT - Office
C,Citigroup Inc.,Financial Services,Banks - Diversified
CAG,Conagra Brands Inc.,Consumer Defensive,Packaged Foods
CAH,Cardinal Health Inc.,Healthcare,Medical Distribution
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
CBOE,Cboe Global Markets Inc.,Financial Services,Financial Data & Stock Exchanges
CBRE,CBRE Group Inc.,Real Estate,Real Estate Services
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services
CDNS,Cadence Design Systems Inc.,Technology,Software - Application
CDNS,Cadence Design Systems Inc.,Technology,Software - Application
CDW,CDW Corporation,Technology,Information Technology Services
CDW,CDW Corporation,Technology,Information Technology Services
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable
CF,CF Industries Holdings Inc.,Basic Materials,Agricultural Inputs
CFG,Citizens Financial Group Inc.,Financial Services,Banks - Regional
CHD,Church & Dwight Co. Inc.,Consumer Defensive,Household & Personal Products
CHRW,C.H. Robinson Worldwide Inc.,Industrials,Integrated Freight & Logistics
CHTR,Charter Communications Inc.,Communication Services,Telecom Services
CHTR,Charter Communications Inc.,Communication Services,Telecom Services
CI,The Cigna Group,Healthcare,Healthcare Plans
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corporation,Communication Services,Telecom Services
CMCSA,Comcast Corporation,Communication Services,Telecom Services
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges
CMG,Chipotle Mexican Grill Inc.,Consumer Cyclical,Restaurants
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CNC,Centene Corporation,Healthcare,Healthcare Plans
CNP,CenterPoint Energy Inc.,Utilities,Utilities - Regulated Electric
COF,Capital One Financial Corporation,Financial Services,Credit Services
COIN,Coinbase Global Inc.,Financial Services,Financial Data & Stock Exchanges
COO,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies
COP,ConocoPhillips,Energy,Oil & Gas E&P
COR,Cencora Inc.,Healthcare,Medical Distribution
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
CPAY,Corpay Inc.,Technology,Software - Infrastructure
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods
CPRT,Copart Inc.,Industrials,Specialty Business Services
CPRT,Copart Inc.,Industrials,Specialty Business Services
CPT,Camden Property Trust,Real Estate,REIT - Residential
CRL,Charles River Laboratories International Inc.,Healthcare,Diagnostics & Research
CRM,Salesforce Inc.,Technology,Software - Application
CRM,Salesforce Inc.,Technology,Software - Application
CRWD,CrowdStrike Holdings Inc.,Technology,Software - Infrastructure
CRWD,CrowdStrike Holdings Inc.,Technology,Software - Infrastructure
CSCO,Cisco Systems Inc.,Technology,Communication Equipment
CSCO,Cisco Systems Inc.,Technology,Communication Equipment
CSCO,Cisco Systems Inc.,Technology,Communication Equipment
CSGP,CoStar Group Inc.,Real Estate,Real Estate Services
CSGP,CoStar Group Inc.,Real Estate,Real Estate Services
CSX,CSX Corporation,Industrials,Railroads
CSX,CSX Corporation,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services
CTVA,Corteva Inc.,Basic Materials,Agricultural Inputs
CVS,CVS Health Corporation,Healthcare,Healthcare Plans
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
D,Dominion Energy Inc.,Utilities,Utilities - Regulated Electric
DAL,Delta Air Lines Inc.,Industrials,Airlines
DASH,DoorDash Inc.,Consumer Cyclical,Internet Retail
DASH,DoorDash Inc.,Consumer Cyclical,Internet Retail
DAY,Dayforce Inc,Technology,Software - Application
DD,DuPont de Nemours Inc.,Basic Materials,Specialty Chemicals
DDOG,Datadog Inc.,Technology,Software - Application
DDOG,Datadog Inc.,Technology,Software - Application
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories
DELL,Dell Technologies Inc.,Technology,Computer Hardware
DG,Dollar General Corporation,Consumer Defensive,Discount Stores
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
DHI,D.R. Horton Inc.,Consumer Cyclical,Residential Construction
DHR,Danaher Corporation,Healthcare,Diagnostics & Research
DIS,The Walt Disney Company,Communication Services,Entertainment
DIS,The Walt Disney Company,Communication Services,Entertainment
DLR,Digital Realty Trust Inc.,Real Estate,REIT - Specialty
DLTR,Dollar Tree Inc.,Consumer Defensive,Discount Stores
DOC,Healthpeak Properties Inc.,Real Estate,REIT - Healthcare Facilities
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,Basic Materials,Chemicals
DPZ,Domino's Pizza Inc.,Consumer Cyclical,Restaurants
DRI,Darden Restaurants Inc.,Consumer Cyclical,Restaurants
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric
DVA,DaVita Inc.,Healthcare,Medical Care Facilities
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P
DXCM,DexCom Inc.,Healthcare,Medical Devices
DXCM,DexCom Inc.,Healthcare,Medical Devices
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals
ED,Consolidated Edison Inc.,Utilities,Utilities - Regulated Electric
EFX,Equifax Inc.,Industrials,Consulting Services
EG,Everest Group Ltd.,Financial Services,Insurance - Reinsurance
EIX,Edison International,Utilities,Utilities - Regulated Electric
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products
ELV,Elevance Health Inc.,Healthcare,Healthcare Plans
EME,EMCOR Group Inc.,Industrials,Engineering & Construction
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery
EOG,EOG Resources Inc.,Energy,Oil & Gas E&P
EPAM,EPAM Systems Inc.,Technology,Information Technology Services
EQIX,Equinix Inc.,Real Estate,REIT - Specialty
EQR,Equity Residential,Real Estate,REIT - Residential
EQT,EQT Corporation,Energy,Oil & Gas E&P
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers
ES,Eversource Energy,Utilities,Utilities - Regulated Electric
ESS,Essex Property Trust Inc.,Real Estate,REIT - Residential
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric
EVRG,Evergy Inc.,Utilities,Utilities - Regulated Electric
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P
EXPD,Expeditors International of Washington Inc.,Industrials,Integrated Freight & Logistics
EXPE,Expedia Group Inc.,Consumer Cyclical,Travel Services
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
FANG,Diamondback Energy Inc.,Energy,Oil & Gas E&P
FANG,Diamondback Energy Inc.,Energy,Oil & Gas E&P
FAST,Fastenal Company,Industrials,Industrial Distribution
FAST,Fastenal Company,Industrials,Industrial Distribution
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric
FFIV,F5 Inc.,Technology,Software - Infrastructure
FI,Fiserv Inc.,Technology,Information Technology Services
FICO,Fair Isaac Corporation,Technology,Software - Application
FIS,Fidelity National Information Services Inc.,Technology,Information Technology Services
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional
FOX,Fox Corporation,Communication Services,Entertainment
FOXA,Fox Corporation,Communication Services,Entertainment
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail
FSLR,First Solar Inc.,Technology,Solar
FTNT,Fortinet Inc.,Technology,Software - Infrastructure
FTNT,Fortinet Inc.,Technology,Software - Infrastructure
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments
GD,General Dynamics Corporation,Industrials,Aerospace & Defense
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
GEN,Gen Digital Inc.,Technology,Software - Infrastructure
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery
GFS,GlobalFoundries Inc.,Technology,Semiconductors
GILD,Gilead Sciences Inc.,Healthcare,Drug Manufacturers - General
GILD,Gilead Sciences Inc.,Healthcare,Drug Manufacturers - General
GIS,General Mills Inc.,Consumer Defensive,Packaged Foods
GL,Globe Life Inc.,Financial Services,Insurance - Life
GLW,Corning Incorporated,Technology,Electronic Components
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts
GPN,Global Payments Inc.,Industrials,Specialty Business Services
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
GS,The Goldman Sachs Group Inc.,Financial Services,Capital Markets
GS,The Goldman Sachs Group Inc.,Financial Services,Capital Markets
GWW,W.W. Grainger Inc.,Industrials,Industrial Distribution
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services
HAS,Hasbro Inc.,Consumer Cyclical,Leisure
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional
HCA,HCA Healthcare Inc.,Healthcare,Medical Care Facilities
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail
HIG,The Hartford Insurance Group Inc.,Financial Services,Insurance - Property & Casualty
HII,Huntington Ingalls Industries Inc.,Industrials,Aerospace & Defense
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging
HOLX,Hologic Inc.,Healthcare,Medical Instruments & Supplies
HON,Honeywell International Inc.,Industrials,Conglomerates
HON,Honeywell International Inc.,Industrials,Conglomerates
HON,Honeywell International Inc.,Industrials,Conglomerates
HOOD,Robinhood Markets Inc.,Financial Services,Capital Markets
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment
HPQ,HP Inc.,Technology,Computer Hardware
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods
HSIC,Henry Schein Inc.,Healthcare,Medical Distribution
HST,Host Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel
HSY,The Hershey Company,Consumer Defensive,Confectioners
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts
HUM,Humana Inc.,Healthcare,Healthcare Plans
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense
IBKR,Interactive Brokers Group Inc.,Financial Services,Capital Markets
IBM,International Business Machines Corporation,Technology,Information Technology Services
IBM,International Business Machines Corporation,Technology,Information Technology Services
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges
IDXX,IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research
IDXX,IDEXX Laboratories Inc.,Healthcare,Diagnostics & Research
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals
INCY,Incyte Corporation,Healthcare,Biotechnology
INTC,Intel Corporation,Technology,Semiconductors
INTC,Intel Corporation,Technology,Semiconductors
INTU,Intuit Inc.,Technology,Software - Application
INTU,Intuit Inc.,Technology,Software - Application
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
IP,International Paper Company,Consumer Cyclical,Packaging & Containers
IPG,The Interpublic Group of Companies Inc.,Communication Services,Advertising Agencies
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty
ISRG,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies
ISRG,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies
IT,Gartner Inc.,Technology,Information Technology Services
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
IVZ,Invesco Ltd.,Financial Services,Asset Management
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction
JBHT,J.B. Hunt Transport Services Inc.,Industrials,Integrated Freight & Logistics
JBL,Jabil Inc.,Technology,Electronic Components
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment
JKHY,Jack Henry & Associates Inc.,Technology,Information Technology Services
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified
K,Kellanova,Consumer Defensive,Packaged Foods
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic
KEY,KeyCorp,Financial Services,Banks - Regional
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail
KKR,KKR & Co. Inc.,Financial Services,Asset Management
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products
KMI,Kinder Morgan Inc.,Energy,Oil & Gas Midstream
KMX,CarMax Inc.,Consumer Cyclical,Auto & Truck Dealerships
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic
KR,The Kroger Co.,Consumer Defensive,Grocery Stores
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products
L,Loews Corporation,Financial Services,Insurance - Property & Casualty
LDOS,Leidos Holdings Inc.,Technology,Information Technology Services
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research
LHX,L3Harris Technologies Inc.,Industrials,Aerospace & Defense
LII,Lennox International Inc.,Industrials,Building Products & Equipment
LIN,Linde plc,Basic Materials,Specialty Chemicals
LIN,Linde plc,Basic Materials,Specialty Chemicals
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric
LOW,Lowe's Companies Inc.,Consumer Cyclical,Home Improvement Retail
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail
LUV,Southwest Airlines Co.,Industrials,Airlines
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos
LW,Lamb Weston Holdings Inc.,Consumer Defensive,Packaged Foods
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals
LYV,Live Nation Entertainment Inc.,Communication Services,Entertainment
MA,Mastercard Incorporated,Financial Services,Credit Services
MAA,Mid-America Apartment Communities Inc.,Real Estate,REIT - Residential
MAR,Marriott International Inc.,Consumer Cyclical,Lodging
MAR,Marriott International Inc.,Consumer Cyclical,Lodging
MAS,Masco Corporation,Industrials,Building Products & Equipment
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants
MCHP,Microchip Technology Incorporated,Technology,Semiconductors
MCHP,Microchip Technology Incorporated,Technology,Semiconductors
MCK,McKesson Corporation,Healthcare,Medical Distribution
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges
MDLZ,Mondelez International Inc.,Consumer Defensive,Confectioners
MDLZ,Mondelez International Inc.,Consumer Defensive,Confectioners
MDT,Medtronic plc,Healthcare,Medical Devices
MELI,MercadoLibre Inc.,Consumer Cyclical,Internet Retail
MET,MetLife Inc.,Financial Services,Insurance - Life
META,Meta Platforms Inc.,Communication Services,Internet Content & Information
META,Meta Platforms Inc.,Communication Services,Internet Content & Information
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
MHK,Mohawk Industries Inc.,Consumer Cyclical,Furnishings Fixtures & Appliances
MKC,McCormick & Company Incorporated,Consumer Defensive,Packaged Foods
MLM,Martin Marietta Materials Inc.,Basic Materials,Building Materials
MMC,Marsh & McLennan Companies Inc.,Financial Services,Insurance Brokers
MMM,3M Company,Industrials,Conglomerates
MMM,3M Company,Industrials,Conglomerates
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic
MO,Altria Group Inc.,Consumer Defensive,Tobacco
MOH,Molina Healthcare Inc.,Healthcare,Healthcare Plans
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing
MPWR,Monolithic Power Systems Inc.,Technology,Semiconductors
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General
MRNA,Moderna Inc.,Healthcare,Biotechnology
MRVL,Marvell Technology Inc.,Technology,Semiconductors
MS,Morgan Stanley,Financial Services,Capital Markets
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
MSI,Motorola Solutions Inc.,Technology,Communication Equipment
MSTR,Strategy Inc,Technology,Software - Application
MTB,M&T Bank Corporation,Financial Services,Banks - Regional
MTCH,Match Group Inc.,Communication Services,Internet Content & Information
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research
MU,Micron Technology Inc.,Technology,Semiconductors
MU,Micron Technology Inc.,Technology,Semiconductors
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services
NDAQ,Nasdaq Inc.,Financial Services,Financial Data & Stock Exchanges
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery
NEE,NextEra Energy Inc.,Utilities,Utilities - Regulated Electric
NEM,Newmont Corporation,Basic Materials,Gold
NFLX,Netflix Inc.,Communication Services,Entertainment
NFLX,Netflix Inc.,Communication Services,Entertainment
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas
NKE,NIKE Inc.,Consumer Cyclical,Footwear & Accessories
NKE,NIKE Inc.,Consumer Cyclical,Footwear & Accessories
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense
NOW,ServiceNow Inc.,Technology,Software - Application
NRG,NRG Energy Inc.,Utilities,Utilities - Independent Power Producers
NSC,Norfolk Southern Corporation,Industrials,Railroads
NTAP,NetApp Inc.,Technology,Software - Infrastructure
NTRS,Northern Trust Corporation,Financial Services,Asset Management
NUE,Nucor Corporation,Basic Materials,Steel
NVDA,NVIDIA Corporation,Technology,Semiconductors
NVDA,NVIDIA Corporation,Technology,Semiconductors
NVDA,NVIDIA Corporation,Technology,Semiconductors
NVR,NVR Inc.,Consumer Cyclical,Residential Construction
NWS,News Corporation,Communication Services,Entertainment
NWSA,News Corporation,Communication Services,Entertainment
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors
O,Realty Income Corporation,Real Estate,REIT - Retail
ODFL,Old Dominion Freight Line Inc.,Industrials,Trucking
ODFL,Old Dominion Freight Line Inc.,Industrials,Trucking
OKE,ONEOK Inc.,Energy,Oil & Gas Midstream
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies
ON,ON Semiconductor Corporation,Technology,Semiconductors
ON,ON Semiconductor Corporation,Technology,Semiconductors
ORCL,Oracle Corporation,Technology,Software - Infrastructure
ORLY,O'Reilly Automotive Inc.,Consumer Cyclical,Auto Parts
ORLY,O'Reilly Automotive Inc.,Consumer Cyclical,Auto Parts
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P
PANW,Palo Alto Networks Inc.,Technology,Software - Infrastructure
